,,song,singer,urls
1977,10,Torn Between Two Lovers,Mary MacGregor,https://www.youtube.com/watch?v=w1F5BLLFAeM
1977,11,I'm Your Boogie Man,KC and the Sunshine Band,https://www.youtube.com/watch?v=L73V8_VmqBQ
1977,12,Dancing Queen,ABBA,https://www.youtube.com/watch?v=xFrGuyw1V8s
1977,13,You Make Me Feel Like Dancing,Leo Sayer,https://www.youtube.com/watch?v=HhSjwU8gEsI
1977,14,Margaritaville,Jimmy Buffett,https://www.youtube.com/watch?v=ue2-ZVxpVjc
1977,15,Telephone Line,Electric Light Orchestra,https://www.youtube.com/watch?v=KfCDhjc1IWw
1977,16,Whatcha Gonna Do?,Pablo Cruise,https://www.youtube.com/watch?v=6MugNC1nIYA
1977,17,Do You Wanna Make Love,Peter McCann,https://www.youtube.com/watch?v=9Kj-tdp7reE
1977,18,Sir Duke,Stevie Wonder,https://www.youtube.com/watch?v=s6fPN5aQVDI
1977,19,Hotel California,Eagles,https://www.youtube.com/watch?v=09839DpTctU
1977,20,Got to Give It Up,Marvin Gaye,https://www.youtube.com/watch?v=qhFNY9zW2F4
1977,21,Gonna Fly Now,Bill Conti,https://www.youtube.com/watch?v=zHd3vzyM1fw
1977,22,Southern Nights,Glen Campbell,https://www.youtube.com/watch?v=X6-sU7pVJ3k
1977,23,Rich Girl,Hall & Oates,https://www.youtube.com/watch?v=AmHE65RAkSY
1977,24,When I Need You,Leo Sayer,https://www.youtube.com/watch?v=l9mjLRmx6nk
1977,25,Hot Line,The Sylvers,https://www.youtube.com/watch?v=ErU8Lo2WcO4
1977,26,Car Wash,Rose Royce,https://www.youtube.com/watch?v=PkxaunLybuM
1977,27,You Don't Have to Be a Star (To Be in My Show),"Marilyn McCoo,Billy Davis Jr.,",https://www.youtube.com/watch?v=-nb9jJg_wIU
1977,28,Fly Like an Eagle,Steve Miller Band,https://www.youtube.com/watch?v=2QOhV7kWQhs
1977,29,Don't Give Up on Us,David Soul,https://www.youtube.com/watch?v=YY8APrYU2Gs
1977,30,On and On,Stephen Bishop,https://www.youtube.com/watch?v=soIewreZjls
1977,31,Feels Like the First Time,Foreigner,https://www.youtube.com/watch?v=CK6jKL2qWxo
1977,32,Couldn't Get It Right,Climax Blues Band,https://www.youtube.com/watch?v=FLqYZ0XDirU
1977,33,Easy,Commodores,https://www.youtube.com/watch?v=saaLW0jiiUE
1977,34,Right Time of the Night,Jennifer Warnes,https://www.youtube.com/watch?v=xa4nRJCEz28
1977,35,I've Got Love on My Mind,Natalie Cole,https://www.youtube.com/watch?v=eXRyH4h4TUc
1977,36,Blinded by the Light,Manfred Mann's Earth Band,https://www.youtube.com/watch?v=lcWVL4B-4pI
1977,37,Looks Like We Made It,Barry Manilow,https://www.youtube.com/watch?v=dSyB-OIRtR0
