year,rank,song,singer,url,found,bpm,key,spotifyTitle,spotifyArtist
2010,44,Baby,"Justin Bieber,Ludacris,",https://www.youtube.com/watch?v=kffacxfA7G4,1,65.043,F Minor,Baby,"Justin Bieber, Ludacris"
2011,44,Dynamite,Taio Cruz,https://www.youtube.com/watch?v=cmubIGaKf2I,1,119.977,E Major,Dynamite,Taio Cruz
2012,44,Scream,Usher,https://www.youtube.com/watch?v=qnjqNHB1bKw,1,127.992,G Minor,Scream,USHER
2013,44,Sweet Nothing,"Calvin Harris,Florence Welch,",https://www.youtube.com/watch?v=17ozSeGw-fY,0,,,,
2014,44,Wrecking Ball,Miley Cyrus,https://www.youtube.com/watch?v=My2FRPA3Gf8,1,119.964,F Major,Wrecking Ball,Miley Cyrus
2015,44,My Way,Fetty Wap,https://www.youtube.com/watch?v=YS-5oD2Y4Wk,1,128.077,Gb Major,My Way (feat. Monty),"Fetty Wap, Monty"
2016,44,Let It Go,James Bay,https://www.youtube.com/watch?v=GsPq9mzFNGY,1,147.486,Db Major,Let It Go,James Bay
2017,44,Rockabye,"Clean Bandit,Sean Paul,Anne-Marie,",https://www.youtube.com/watch?v=papuvlVeZg8,0,,,,
2018,44,Gucci Gang,Lil Pump,https://www.youtube.com/watch?v=4LfJnj66HVQ,1,119.889,F Major,Gucci Gang,Lil Pump
2019,44,Mia,"Bad Bunny,Drake,",https://www.youtube.com/watch?v=Ej_6PhzzPwU,0,,,,
2020,44,Señorita,"Shawn Mendes,Camila Cabello,",https://www.youtube.com/watch?v=3NcL3yUK4S0,1,116.963,A Minor,Señorita,"Shawn Mendes, Camila Cabello"
2021,44,Beat Box,"SpotemGottem,Pooh Shiesty,DaBaby,",https://www.youtube.com/watch?v=fa8RHstfrI4,0,,,,
2022,44,Moscow Mule,Bad Bunny,https://www.youtube.com/watch?v=p38WgakuYDo,0,,,,
1973,45,Neither One of Us (Wants to Be the First to Say Goodbye),Gladys Knight & the Pips,https://www.youtube.com/watch?v=i810mVyAZDw,1,140.29,F Major,Neither One Of Us (Wants To Be The First To Say Goodbye),Gladys Knight & The Pips
1974,45,Living for the City,Stevie Wonder,https://www.youtube.com/watch?v=7_RgaYueeh4,0,,,,
1975,45,Fallin' in Love,"Hamilton, Joe Frank & Reynolds",https://www.youtube.com/watch?v=TviRQl5FvU0,1,87.105,F Minor,Fallin' in Love,"Hamilton, Joe Frank & Reynolds, Joe Frank & Reynolds"
1976,45,That's the Way (I Like It),KC and the Sunshine Band,https://www.youtube.com/watch?v=Ajrir__HG9o,1,109.911,C Minor,Karaoke - That's The Way (I Like It),Karaoke - Kc And The Sunshine Band
1977,45,Da Doo Ron Ron,Shaun Cassidy,https://www.youtube.com/watch?v=hWzbZF-m9D0,1,143.555,C Major,Da Doo Ron Ron,Shaun Cassidy
1978,45,An Everlasting Love,Andy Gibb,https://www.youtube.com/watch?v=dK5VKo7FUe0,0,,,,
1979,45,He's the Greatest Dancer,Sister Sledge,https://www.youtube.com/watch?v=U-GcL1Cd5b4,1,113.244,G Minor,He's the Greatest Dancer - 1995 Remaster,Sister Sledge
1980,45,We Don't Talk Anymore,Cliff Richard,https://www.youtube.com/watch?v=m8FCZ5x8Gpg,1,111.569,C Major,We Don't Talk Anymore - 2001 Remaster,Cliff Richard
1981,45,How 'Bout Us,Champaign,https://www.youtube.com/watch?v=YBUqDr14DEw,1,73.286,Db Major,How 'Bout Us,Champaign
1982,45,Trouble,Lindsey Buckingham,https://www.youtube.com/watch?v=Kcm3dbuV8Z4,1,124.113,Db Major,Trouble,Lindsey Buckingham
1983,45,Tell Her About It,Billy Joel,https://www.youtube.com/watch?v=p0pM5dm--yQ,1,182.262,Ab Major,Tell Her About It,Billy Joel
1984,45,Hard Habit to Break,Chicago,https://www.youtube.com/watch?v=_aCAZNcTVeo,1,81.182,D Major,Hard Habit to Break - 2006 Remaster,Chicago
1985,45,Sussudio,,https://www.youtube.com/watch?v=r0qBaBb1Y-U,0,,,,
1986,45,Let's Go All the Way,Sly Fox,https://www.youtube.com/watch?v=1xIY98rCDWk,1,98.149,F Major,Let's Go All The Way,Sly Fox
1987,45,I Just Can't Stop Loving You,"Michael Jackson,Siedah Garrett,",https://www.youtube.com/watch?v=fKBiYBWRYDM,0,,,,
